YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,SZA,T2M,T2MDEW,RH2M,PRECTOTCORR,PS,WS10M
2020,1,1,0,0,0,0,90,22.83,21.96,94.66,10.91,100.22,4.16
2020,1,1,1,0,0,0,90,22.73,21.88,94.79,9.87,100.17,4.15
2020,1,1,2,0,0,0,90,22.62,21.85,95.27,11.55,100.12,3.88
2020,1,1,3,0,0,0,90,22.61,21.8,95.03,11.41,100.12,4.14
2020,1,1,4,0,0,0,90,22.6,21.85,95.39,10.7,100.14,4.1
2020,1,1,5,0,0,0,90,22.63,21.84,95.16,8.99,100.19,4.05
2020,1,1,6,9.2,20.33,11.39,88.37,22.64,21.84,95.11,8.86,100.26,3.74
2020,1,1,7,113.93,265.91,58.28,77.36,23.26,22.16,93.39,10.02,100.34,3.99
2020,1,1,8,177.07,150.76,105.19,65.54,24.28,22.45,89.39,0.33,100.39,4.16
2020,1,1,9,275.15,160.68,169.55,55.06,25.36,21.85,80.8,0.35,100.42,4.91
2020,1,1,10,397.3,84.62,256.56,46.86,26.1,21.53,75.87,0.33,100.4,5.17
2020,1,1,11,454.77,294.25,211.82,42.28,26.44,21.51,74.32,0.36,100.34,5.38
2020,1,1,12,463.85,331.65,219.35,42.52,26.53,21.54,74.01,0.38,100.27,5.64
2020,1,1,13,414.05,197.74,221.56,47.5,26.12,21.52,75.68,0.38,100.2,5.72
2020,1,1,14,295.98,263.18,152.47,55.96,25.62,21.46,77.69,0.36,100.18,5.69
2020,1,1,15,177.4,431.94,62.92,66.59,24.95,21.41,80.61,0.32,100.19,5.44
2020,1,1,16,75.55,272.58,36.25,78.51,24.11,21.35,84.49,0.28,100.24,5.07
2020,1,1,17,4.25,16.5,5.68,88.92,23.25,21.23,88.31,0.19,100.3,4.47
2020,1,1,18,0,0,0,90,22.99,21.26,89.89,0.15,100.38,4
2020,1,1,19,0,0,0,90,22.9,21.3,90.56,0.13,100.44,3.68
2020,1,1,20,0,0,0,90,22.78,21.31,91.24,0.15,100.47,3.4
2020,1,1,21,0,0,0,90,22.63,21.33,92.24,0.12,100.46,3.15
2020,1,1,22,0,0,0,90,22.59,21.3,92.38,0.17,100.43,3.14
2020,1,1,23,0,0,0,90,22.55,21.25,92.28,0.18,100.39,3.32
2020,1,2,0,0,0,0,90,22.5,21.21,92.22,0.18,100.34,3.49
2020,1,2,1,0,0,0,90,22.37,21.13,92.6,0.19,100.27,3.48
2020,1,2,2,0,0,0,90,22.28,21.09,92.83,0.16,100.22,3.45
2020,1,2,3,0,0,0,90,22.21,21.02,92.9,0.14,100.19,3.4
2020,1,2,4,0,0,0,90,22.14,20.96,92.9,0.12,100.21,3.31
2020,1,2,5,0,0,0,90,22.16,20.86,92.18,0.1,100.26,3.38
2020,1,2,6,10.25,24.87,12.69,88.41,22.3,20.82,91.22,0.1,100.32,3.36
2020,1,2,7,126.2,226.93,68.52,77.42,23.31,21.07,87.15,0.09,100.41,3.38
2020,1,2,8,273.3,438.88,108.88,65.58,24.53,20.94,80.32,0.09,100.47,3.71
2020,1,2,9,408.02,469.22,134.44,55.08,25.59,20.7,74.3,0.09,100.49,3.91
2020,1,2,10,535,398.42,245.99,46.84,26.41,20.58,70.25,0.11,100.45,3.9
2020,1,2,11,586.53,399.53,269.39,42.22,26.97,20.54,67.82,0.12,100.35,4.03
2020,1,2,12,622.3,394.93,268.91,42.42,27.13,20.49,66.98,0.13,100.24,4.24
